token	question_1_check	question_2_check	question_3_check	sex_check	age_check	climate_check
0EcaiaTW29ZES7i	1	1	1	1	1	1
0KYexOEtrernCqc	1	1	1	1	1	1
0UAvSP8K0zzDuYz	1	1	1	1	0	1
0b4WaZgBGQXFsqq	1	1	1	1	1	1
0drMaZtmUaa1FfG	1	0	0	0	1	1
0talYxhKDgngzMV	1	1	1	1	1	1
13oUvC2pFbaA9tU	0	0	0	1	1	1
1FBwrRnns3MTIcF	1	1	1	1	1	1
1UPK4O2NJ0T8gDF	1	1	1	1	1	1
1bia6LNdyI6YzJg	1	1	1	1	1	1
1dNvyztKqkd6ufy	1	1	1	1	1	1
1tJ6tOHBiHfW3Nn	1	1	1	1	1	1
1vJTSKV6wY53NcZ	1	1	1	1	1	1
1vurLNgs10dTclk	1	1	1	1	1	1
1vwpDMzEMji1MWN	1	1	1	1	1	1
2Uh0boayb2RAvca	1	1	1	1	1	1
2Vp1MHhcbSLra2R	1	1	1	1	1	1
2XOjjX8AMfx96ay	1	1	1	1	1	1
2ixpWy66oDvc0BO	1	1	1	1	1	1
2pQeyTvzSWtF8EO	1	1	1	1	1	1
2pjQMnARfmvlhn0	1	0	0	1	1	1
2y9mPyzcGhSdkkD	1	1	1	1	1	1
3PKRs9WvMkFA9Fb	1	1	1	1	1	1
3RUXE5wm8wuZvNE	1	1	0	1	1	1
3YBXw1Kfeo8fcr2	1	1	1	1	1	1
3YoDLRWyWjzMYEL	1	1	1	1	1	1
3Z3VXi8O6ey4ylB	1	1	0	1	1	1
3aPbpScVcyxtu4Q	1	1	1	1	1	1
3kGERJT1GtzfAH8	1	1	1	1	1	1
3uJxEAahzLikWGL	1	1	1	1	1	1
3xTJwLbbK4fhW17	1	0	0	1	1	1
46MDGzps4P2vuZr	1	1	1	1	1	1
494cXHisAsByOLC	1	1	1	1	1	1
4Uu1nZJnKzzByZN	1	1	1	1	1	1
4kx2QVI9GJEsMG3	1	1	1	1	1	1
4pBAkNzzz4o5qLa	1	1	1	1	1	1
4wUDYzbMRVx3mVX	1	0	0	1	1	1
4xC3rWZXZquLhwb	1	1	1	1	1	1
4zQQzbxCY06AwKh	1	1	0	1	1	1
58HIp6lKOGszlXe	1	1	1	1	1	1
5NILDszCiPqYwPr	1	1	1	1	1	1
5NQGddJQVxodg3a	1	1	1	1	1	1
5daJNCHA7aa39ZH	1	1	0	1	1	1
5grJtizFEyqH50N	1	1	1	1	1	1
5hUDpUWrhua4Ljn	1	1	0	1	1	1
5qv46ahZ3bJFDyw	1	0	0	1	1	1
605e79o5F2zZkHr	1	1	1	1	1	1
66tG7VKaFcGMPnc	1	1	0	1	1	1
6LnmPDvGRYZzycJ	1	1	1	1	1	1
6mhCCgotzeAq1ie	1	1	1	1	1	1
6yVbSq5T70FJrck	1	1	1	1	1	1
6ykQiPg2XMdpHet	1	1	0	1	1	0
7Ec5EOAGK8dNfHX	1	1	1	1	1	1
